"lon","lat"
-76.1036964,43.0533438
-76.095189,43.045974
-76.17756,43.0378
-76.126743,43.034457
-76.121787,43.0544667
-76.1193171,43.0544718
-76.1463685,43.1325144
-76.1463685,43.1325144
-76.2698197,43.0416859
-76.1226294,43.1488517
-75.959086,42.993498
-76.1458322,43.1063167
-76.132201,43.079389
-76.119914,43.0438509
-76.1711738,43.0717962
-76.1036964,43.0533438
-76.1711738,43.0717962
-76.1725506,43.0403394
-76.1639338,43.0695924
-76.149105,43.0769146
-76.1711738,43.0717962
-76.1738514,43.0520826
-76.1366155,43.0441875
-76.122612,43.069105
-76.1480437,43.1036592
-76.1652327,43.0698552
-76.1674162,43.0402503
-76.1529798,42.9990791
-76.1419285,43.0705143
-76.1524724,43.0237728
-76.1547879,43.0701704
-76.1603759,43.0709103
-76.0019858,43.0958823
-76.1165799,43.0680378
-76.189963,43.0561537
-76.196625,43.012253
-76.2698197,43.0416859
-76.2698197,43.0416859
-76.1398096,43.2339387
-76.0364761,43.0624177
-76.0624449,43.0612084
-76.0540341,43.0317083
-76.228756,43.15893
-76.217827,43.105901
-76.1458322,43.1063167
-76.1368061,43.1438505
-76.148104,43.111809
-76.1231595,43.0727125
-76.15742,43.0361509
-76.159758,43.03944
-76.1565644,43.0787131
-76.124536,43.034064
-76.124536,43.034064
-76.1835012,43.0521308
-76.148956,43.0693794
-76.129661,43.046717
-76.1476641,43.0619646
-76.1685312,43.0453525
-76.1322007,43.0076778
-76.1590122,43.037113
-76.151022,43.040358
-76.1589361,43.0353081
-76.1095443,42.7980636
-76.148376,43.014085
-76.2430721,43.1660903
-76.14495,43.100336
-76.1458205,43.0415038
-76.1531687,43.0020374
-76.162251,43.047082
-76.1448459,43.0403028
-76.1607328,43.0461954
-76.2127253,43.1265421
-76.1481262,43.0613418
-76.150449,43.054067
-76.1424239,43.1550333
-76.1424239,43.1550333
-76.097539,43.063863
-76.1314095,43.0438531
-76.119589,43.06416
-75.9692517,43.1553858
-76.2698197,43.0416859
-76.1223822,43.1559414
-76.1112467,43.1758492
-76.106129,43.187069
-76.1236532,43.152277
-76.106129,43.187069
-76.224888,43.188353
-76.0662849,43.037541
-76.0662872,43.0586539
-76.0681218,43.0746228
-76.0540341,43.0317083
-76.1687252,43.1252099
-76.1394713,43.1299071
-76.1421969,43.0107349
-76.1036964,43.0533438
-76.171449,43.0484213
-76.1926293,43.0531547
-76.143005,43.008642
-76.1231646,43.0740124
-76.2435345,43.0458846
-76.160177,43.06812
-76.1455316,43.037396
-76.168471,43.0225409
-76.151854,43.0610253
-76.1345003,43.0592128
-76.1420991,43.0508548
-76.152726,43.062481
-76.098725,43.062019
-76.1572955,43.0636256
-76.3117521,43.1288781
-76.3117521,43.1288781
-76.0822124,43.0456622
-76.0662849,43.037541
-76.0930807,43.0693325
-76.0270599,43.0820748
-76.2440887,43.1898821
-75.954774,42.992341
-76.1937884,43.0310854
-76.1711903,43.0717902
-76.1711738,43.0717962
-76.244065,43.0946675
-76.1937884,43.0310854
-76.1662295,43.0500064
-76.147564,43.058931
-76.129619,43.080353
-76.229906,43.048864
-76.1444531,43.0281757
-76.1746477,43.0639231
-76.1802469,43.0525152
-76.141856,43.053008
-76.1687252,43.1252099
-76.159758,43.03944
-76.1802469,43.0525152
-76.132867,43.052522
-76.1524292,43.0197012
-76.1482969,43.0701988
-76.1677878,43.0386196
-76.1531406,43.001752
-76.136087,43.068626
-76.151972,43.05957
-76.3148281,43.1310637
-76.224888,43.188353
-76.0732624,43.0661709
-76.143568,42.892542
-76.2190622,43.129297
-76.1292098,43.1365011
-76.1711738,43.0717962
-76.1623631,43.0438296
-76.1711738,43.0717962
-76.2238928,43.0482049
-76.154804,43.0502279
-76.143005,43.008642
-76.160455,43.0401669
-76.143128,43.064102
-76.1711738,43.0717962
-76.142593,43.0751833
-76.1434689,43.0005233
-76.1317116,43.0519282
-76.132867,43.052522
-76.1401017,43.0722573
-76.1481183,43.0645427
-76.0624449,43.0612084
-76.336026,43.164482
-76.3109239,43.1376945
-76.3393905,43.174879
-76.1236532,43.152277
-76.1127516,43.1641062
-76.0696314,43.051536
-76.0211654,43.0334783
-76.0540341,43.0317083
-76.2177046,43.106456
-76.1351207,43.1324372
-76.1711903,43.0717902
-76.1711738,43.0717962
-76.1419504,43.069807
-76.1711738,43.0717962
-76.1556839,43.024232
-76.1660884,43.0304128
-76.1413726,43.062097
-76.2163736,43.1294352
-76.1418669,43.0712969
-76.133081,43.0524159
-76.3735619,43.1312562
-76.151972,43.05957
-76.1056052,43.073695
-76.3347014,43.0367136
-76.3854681,43.0964895
-76.070734,43.0476697
-76.0270599,43.0820748
-76.3445509,43.1777714
-76.1385994,43.0572034
-76.1586453,43.04025
-76.157435,43.0670379
-76.1108263,43.0790065
-76.141766,43.0133761
-76.1643892,43.0414857
-76.1366387,43.0416192
-76.126664,43.036179
-76.1515581,43.0427347
-76.1390183,43.0723168
-76.176499,43.051457
-76.1408808,43.0596901
-76.1086405,43.068606
-76.3148384,43.1356112
-76.2698197,43.0416859
-76.3854681,43.0964895
-76.224888,43.188353
-76.0624449,43.0612084
-76.2177046,43.106456
-76.2191846,43.1297643
-76.152915,43.096432
-76.1133047,43.0477842
-76.1228992,43.0431358
-76.130966,43.0451089
-76.1788455,43.0078413
-76.1711738,43.0717962
-76.1711738,43.0717962
-76.1540602,43.0436534
-76.156715,43.065289
-76.1520038,43.033889
-76.1653502,43.1648643
-76.1415606,42.9761607
-76.3546098,43.225314
-76.2215379,43.0586027
-76.12293,43.036322
-76.2698197,43.0416859
-76.1223822,43.1559414
-76.1223822,43.1559414
-76.1236532,43.152277
-76.1226294,43.1488517
-76.1226294,43.1488517
-76.0662872,43.0586539
-76.0078817,43.0179574
-76.2440887,43.1898821
-76.1711738,43.0717962
-76.1300629,43.0521235
-76.1940223,43.0215082
-76.1604211,43.0424418
-76.1711738,43.0717962
-76.1711738,43.0717962
-76.1711738,43.0717962
-76.1626268,43.0733288
-76.0767561,43.0359302
-76.1377587,43.0476175
-76.1231842,43.0365814
-76.134377,43.0770659
-76.1711738,43.0717962
-76.17234,43.057531
-76.11874,43.057725
-76.11874,43.057725
-76.1624648,43.0708838
-76.1742912,43.0493327
-76.2506914,43.1685397
-76.1549223,43.0023004
-76.1433231,43.0258892
-76.1350624,43.0132876
-76.144124,43.0274854
-76.2698197,43.0416859
-76.1226294,43.1488517
-76.0930807,43.0693325
-76.1187526,42.9953894
-76.4731902,43.0653882
-76.2440887,43.1898821
-76.1719932,43.1314836
-76.1719932,43.1314836
-76.2923953,42.9821041
-76.0072177,43.0780145
-76.1448876,43.1158879
-76.1591885,43.0392516
-76.1323389,43.06186
-76.2142567,43.0608579
-76.1199061,43.0482714
-76.1937884,43.0310854
-76.1756905,43.0212914
-76.148209,43.043527
-76.1711738,43.0717962
-76.1231646,43.0740124
-76.1711738,43.0717962
-76.1900552,43.052891
-76.1175874,43.0355412
-76.1430929,43.066536
-76.1449502,43.0617109
-76.1431097,43.0404167
-76.1300629,43.0521235
-76.2027283,43.0240007
-76.1699843,43.0341154
-76.1415028,43.0603254
-76.1532533,43.0236232
-76.1458045,43.0604414
-76.151972,43.05957
-76.182742,43.049462
-76.151972,43.05957
-76.1669124,43.0430483
-76.218467,43.0583318
-76.0395357,43.1882148
-76.080757,43.052347
-76.083204,43.052727
-76.1284759,43.0393603
-76.1667498,43.0489854
-76.1344928,43.0788301
-76.205239,43.054545
-76.193647,43.0546152
-76.27547,43.156664
-76.1655852,43.1700088
-76.1655852,43.1700088
-76.2177046,43.106456
-75.9695789,43.0002428
-76.180675,43.0590176
-76.2794072,43.1170447
-76.158756,43.012956
-76.1534665,43.0524014
-76.1897447,43.0542545
-76.2238928,43.0482049
-76.1711738,43.0717962
-76.1999478,43.0526618
-76.1474244,43.0481221
-76.128912,43.0441278
-76.1173003,43.0319197
-76.1231842,43.0365814
-76.135256,43.025856
-76.148209,43.043527
-76.130131,43.125648
-76.1535615,43.050563
-76.151919,43.062945
-76.1460897,43.0192943
-76.1215272,43.0492699
